Id,Time[s],0:SPI: MOSI data
0,0.62965,FF
1,0.6325,BB
2,0.635675,80
3,0.638825,80
4,0.642,80
5,0.645175,89
6,0.648325,74
7,0.6515,80
8,0.654675,87
9,0.657825,7F
10,0.661,BB
11,0.664175,80
12,0.66735,80
13,0.6705,80
14,0.673675,80
15,0.67685,08
16,0.68,7F
17,0.683175,BB
18,0.68635,80
19,0.6895,80
20,0.692675,80
21,0.69585,89
22,0.699025,74
23,0.702175,80
24,0.70535,86
25,0.708525,74
26,0.711675,80
27,0.71485,80
28,0.718025,1D
29,0.721175,BB
30,0.72435,7F
31,0.727525,BB
32,0.730675,80
33,0.73385,80
34,0.737025,80
35,0.740175,88
36,0.74335,60
37,0.746525,BB
38,0.7497,80
39,0.75285,60
40,0.756025,87
41,0.7592,86
42,0.76235,61
43,0.765525,80
44,0.7687,81
45,0.77185,61
46,0.775025,80
47,0.7782,66
48,0.78135,88
49,0.784525,58
50,0.7877,A0
51,0.79085,81
52,0.794025,C6
53,0.7972,88
54,0.80035,8B
55,0.803525,85
56,0.8067,84
57,0.80985,84
58,0.813025,84
59,0.8162,8D
60,0.81935,83
61,0.822525,8B
62,0.8257,89
63,0.828875,87
64,0.832025,8A
65,0.8352,8C
66,0.838375,58
67,0.841525,A0
68,0.8447,81
69,0.847875,C6
70,0.851025,88
71,0.8542,8B
72,0.857375,84
73,0.860525,84
74,0.8637,84
75,0.866875,84
76,0.870025,8F
77,0.8732,83
78,0.876375,8A
79,0.879525,89
80,0.8827,C8
81,0.885875,8A
82,0.889025,8C
83,0.8922,7F
84,0.895375,BB
85,0.898525,80
86,0.9017,80
87,0.904875,80
88,0.908025,88
89,0.9112,58
90,0.914375,A5
91,0.917525,58
92,0.9207,B0
93,0.923875,59
94,0.927025,C7
95,0.9302,59
96,0.933375,C0
97,0.93655,5A
98,0.9397,A3
99,0.942875,5B
100,0.94605,E5
101,0.9492,5C
102,0.952375,99
103,0.95555,5C
104,0.9587,80
105,0.961875,89
106,0.96505,5E
107,0.9682,9F
108,0.971375,60
109,0.97455,84
110,0.9777,60
111,0.980875,BC
112,0.98405,61
113,0.9872,BC
114,0.990375,63
115,0.99355,E0
116,0.9967,63
117,0.999875,D1
118,1.00305,68
119,1.0062,C4
120,1.00938,69
121,1.01255,80
122,1.0157,70
123,1.01887,80
124,1.02205,D0
125,1.0252,81
126,1.02838,70
127,1.03155,83
128,1.0347,80
129,1.03788,80
130,1.04105,80
131,1.0442,82
132,1.04737,80
133,1.05055,80
134,1.0537,80
135,1.05688,80
136,1.06005,90
137,1.0632,90
138,1.06638,71
139,1.06955,80
140,1.0727,80
141,1.07588,80
142,1.07903,80
143,1.0822,80
144,1.08537,80
145,1.08852,81
146,1.0917,80
147,1.09488,80
148,1.09803,80
149,1.1012,80
150,1.10438,80
151,1.10753,80
152,1.1107,71
153,1.11385,80
154,1.11703,80
155,1.1202,99
156,1.12335,99
157,1.12652,72
158,1.1297,A2
159,1.13285,A2
160,1.13603,72
161,1.1392,84
162,1.14235,EA
163,1.14553,D5
164,1.1487,C6
165,1.15185,85
166,1.15502,EA
167,1.1582,D5
168,1.16138,C6
169,1.16453,82
170,1.1677,EA
171,1.17088,D5
172,1.17403,C6
173,1.1772,83
174,1.18037,EA
175,1.18353,D5
176,1.1867,C6
177,1.18988,73
178,1.19303,80
179,1.1962,80
180,1.19938,99
181,1.20253,99
182,1.2057,73
183,1.20888,A2
184,1.21203,A2
185,1.2152,74
186,1.21837,84
187,1.22152,EA
188,1.2247,D5
189,1.22788,C6
190,1.23103,85
191,1.2342,EA
192,1.23738,D5
193,1.24053,C6
194,1.2437,82
195,1.24687,EA
196,1.25003,D5
197,1.2532,C6
198,1.25638,83
199,1.25953,EA
200,1.2627,D5
201,1.26588,C6
202,1.26905,75
203,1.2722,88
204,1.27538,80
205,1.27855,88
206,1.2817,80
207,1.28487,88
208,1.28802,80
209,1.2912,88
210,1.29438,80
211,1.29753,88
212,1.3007,80
213,1.30388,88
214,1.30703,80
215,1.3102,88
216,1.31337,80
217,1.31653,88
218,1.3197,80
219,1.32288,75
220,1.32603,81
221,1.3292,81
222,1.33238,A7
223,1.33553,A7
224,1.3387,A2
225,1.34188,80
226,1.34503,88
227,1.3482,76
228,1.35137,81
229,1.35455,80
230,1.3577,76
231,1.36088,82
232,1.36405,A3
233,1.3672,B0
234,1.37038,FF
235,1.37355,C7
236,1.3767,CF
237,1.37987,FF
238,1.38305,FF
239,1.38623,FF
240,1.38938,FF
241,1.39255,FC
242,1.39573,FC
243,1.39888,FF
244,1.40205,8B
245,1.40523,BA
246,1.4084,A8
247,1.41155,7F
248,1.41473,BB
249,1.4179,80
250,1.42105,80
251,1.42423,80
252,1.4274,89
253,1.43055,73
254,1.43373,88
255,1.4369,7F
256,1.44005,BB
257,1.44322,80
258,1.4464,80
259,1.44955,80
260,1.45273,80
261,1.4559,14
